"","t","temp","type"
"1",1,-13.4444444444444,"treningowe"
"2",2,-6.38888888888889,"treningowe"
"3",3,-5.5,"treningowe"
"4",4,-7.66666666666667,"treningowe"
"5",5,-1,"treningowe"
"6",6,2.83333333333333,"treningowe"
"7",7,2.88888888888889,"treningowe"
"8",8,-0.277777777777778,"treningowe"
"9",9,-1.88888888888889,"treningowe"
"10",10,-12.4444444444444,"treningowe"
"11",11,-14.0555555555556,"treningowe"
"12",12,-14.4444444444444,"treningowe"
"13",13,0.722222222222221,"treningowe"
"14",14,2.88888888888889,"treningowe"
"15",15,2.61111111111111,"treningowe"
"16",16,2.38888888888889,"treningowe"
"17",17,8.05555555555556,"treningowe"
"18",18,4.66666666666667,"treningowe"
"19",19,-0.388888888888889,"treningowe"
"20",20,-7.16666666666667,"treningowe"
"21",21,1.77777777777778,"treningowe"
"22",22,2.27777777777778,"treningowe"
"23",23,0.222222222222221,"treningowe"
"24",24,0.166666666666665,"treningowe"
"25",25,-2.5,"treningowe"
"26",26,2.11111111111111,"treningowe"
"27",27,4.61111111111111,"treningowe"
"28",28,8.27777777777778,"treningowe"
"29",29,6.44444444444445,"treningowe"
"30",30,0.333333333333334,"treningowe"
"31",31,-6.55555555555556,"treningowe"
"32",32,-20.2777777777778,"treningowe"
"33",33,-22.0555555555556,"treningowe"
"34",34,-12.5,"treningowe"
"35",35,-1.72222222222222,"treningowe"
"36",36,1.88888888888889,"treningowe"
"37",37,-2.66666666666667,"treningowe"
"38",38,-5.66666666666667,"treningowe"
"39",39,-11.8888888888889,"treningowe"
"40",40,-16.2222222222222,"treningowe"
"41",41,-9.27777777777778,"treningowe"
"42",42,-4.94444444444444,"treningowe"
"43",43,2.44444444444444,"treningowe"
"44",44,8.38888888888889,"treningowe"
"45",45,6.16666666666667,"treningowe"
"46",46,8.33333333333333,"treningowe"
"47",47,10.4444444444444,"treningowe"
"48",48,7.88888888888889,"treningowe"
"49",49,2.16666666666667,"treningowe"
"50",50,6.22222222222222,"treningowe"
"51",51,6.05555555555556,"treningowe"
"52",52,-2.72222222222222,"treningowe"
"53",53,0.833333333333333,"treningowe"
"54",54,2.5,"treningowe"
"55",55,-0.222222222222221,"treningowe"
"56",56,-5.94444444444444,"treningowe"
"57",57,-0.333333333333334,"treningowe"
"58",58,6,"treningowe"
"59",59,2.72222222222222,"treningowe"
"60",60,7.66666666666667,"treningowe"
"61",61,4.27777777777778,"treningowe"
"62",62,8.94444444444445,"treningowe"
"63",63,4.16666666666667,"treningowe"
"64",64,-0.0555555555555564,"treningowe"
"65",65,5.27777777777778,"treningowe"
"66",66,-3.27777777777778,"treningowe"
"67",67,-4.77777777777778,"treningowe"
"68",68,0.999999999999998,"treningowe"
"69",69,7.66666666666667,"treningowe"
"70",70,12.8888888888889,"treningowe"
"71",71,6.22222222222222,"treningowe"
"72",72,4.94444444444444,"treningowe"
"73",73,5.94444444444445,"treningowe"
"74",74,7.88888888888889,"treningowe"
"75",75,12.3333333333333,"treningowe"
"76",76,11.4444444444444,"treningowe"
"77",77,5.05555555555556,"treningowe"
"78",78,10,"treningowe"
"79",79,11.2222222222222,"treningowe"
"80",80,12,"treningowe"
"81",81,11.6111111111111,"treningowe"
"82",82,7.38888888888889,"treningowe"
"83",83,3.77777777777778,"treningowe"
"84",84,6.33333333333333,"treningowe"
"85",85,5.11111111111111,"treningowe"
"86",86,6.05555555555556,"treningowe"
"87",87,3.77777777777778,"treningowe"
"88",88,3.66666666666667,"treningowe"
"89",89,5.5,"treningowe"
"90",90,11.7222222222222,"treningowe"
"91",91,13.5,"treningowe"
"92",92,15.7777777777778,"treningowe"
"93",93,13.6666666666667,"treningowe"
"94",94,0.166666666666665,"treningowe"
"95",95,13.1111111111111,"treningowe"
"96",96,9.38888888888889,"treningowe"
"97",97,7.61111111111111,"treningowe"
"98",98,10.8888888888889,"treningowe"
"99",99,12.2222222222222,"treningowe"
"100",100,7.66666666666667,"treningowe"
"101",101,6.05555555555556,"treningowe"
"102",102,10.7222222222222,"treningowe"
"103",103,8.61111111111111,"treningowe"
"104",104,4.77777777777778,"treningowe"
"105",105,5,"treningowe"
"106",106,9.66666666666667,"treningowe"
"107",107,13.4444444444444,"treningowe"
"108",108,12.1666666666667,"treningowe"
"109",109,8,"treningowe"
"110",110,5,"treningowe"
"111",111,9,"treningowe"
"112",112,11.2777777777778,"treningowe"
"113",113,5.44444444444444,"treningowe"
"114",114,5.66666666666667,"treningowe"
"115",115,6.66666666666667,"treningowe"
"116",116,7.33333333333333,"treningowe"
"117",117,6.5,"treningowe"
"118",118,9.61111111111111,"treningowe"
"119",119,13.3333333333333,"treningowe"
"120",120,5.05555555555556,"treningowe"
"121",121,4.55555555555556,"treningowe"
"122",122,4.72222222222222,"treningowe"
"123",123,9.61111111111111,"treningowe"
"124",124,11.1666666666667,"treningowe"
"125",125,8.83333333333333,"treningowe"
"126",126,16.6666666666667,"treningowe"
"127",127,18.5,"treningowe"
"128",128,21.6111111111111,"treningowe"
"129",129,21.6111111111111,"treningowe"
"130",130,16.1666666666667,"treningowe"
"131",131,7.66666666666667,"treningowe"
"132",132,3.11111111111111,"treningowe"
"133",133,8.61111111111111,"treningowe"
"134",134,7,"treningowe"
"135",135,4.55555555555556,"treningowe"
"136",136,9.22222222222222,"treningowe"
"137",137,10.7777777777778,"treningowe"
"138",138,8.94444444444445,"treningowe"
"139",139,6.16666666666667,"treningowe"
"140",140,7.72222222222222,"treningowe"
"141",141,12.1111111111111,"treningowe"
"142",142,16.3888888888889,"treningowe"
"143",143,15.7222222222222,"treningowe"
"144",144,9.88888888888889,"treningowe"
"145",145,10.7222222222222,"treningowe"
"146",146,13.5,"treningowe"
"147",147,13.3888888888889,"treningowe"
"148",148,14.2222222222222,"treningowe"
"149",149,14.0555555555556,"treningowe"
"150",150,16.7222222222222,"treningowe"
"151",151,14.8888888888889,"treningowe"
"152",152,18.2222222222222,"treningowe"
"153",153,22.8333333333333,"treningowe"
"154",154,18.9444444444444,"treningowe"
"155",155,17.0555555555556,"treningowe"
"156",156,21.2777777777778,"treningowe"
